disposition,disposition_classification,disposition_categories,disposition_categories_description
not sustained,Not Sustained,Not Sustained,"This includes any disposition that was not sustained, unsustained, whose investigation was terminated, unsubstantiated, or similarly not sustained"
sustained,Sustained,Sustained,This includes any disposition which was sustained or which the legal process continued for the alleged misconduct / the misconduct was substantiated
unknown,Other Disposition,Other Disposition,"This includes investigations, pre-determination hearings, referalls, and other dispositions that do not fit into the given categories"
convicted,Other Disposition,Withdrawn,This includes dispositions which were willfully withdrawn by the complaintant or withdrawn because the complaintant did not follow-up
unfounded,Unfounded,Pending,This includes any disposition which was noted as pending. This could possibly be moved into the other category
exonerated,Not Sustained,,
resigned,Other Disposition,,
admin review,Other Disposition,,
office investigation,Other Disposition,,
pre-disciplinary hearing,Other Disposition,,
investigation terminated,Not Sustained,,
pre-termination hearing,Other Disposition,,
termination,Other Disposition,,
resigned in lieu of termination,Other Disposition,,
resigned; investigation terminated,Other Disposition,,
to capt bloom by payne check with up and,Other Disposition,,
resigned in lieu of pre-disciplinary,Other Disposition,,
administrative review,Other Disposition,,
warning notice,Other Disposition,,
verbal reprimand,Other Disposition,,
3-day suspension; ncic account deactivated,Other Disposition,,
un-substantiated,Not Sustained,,
cleared of any wrongdoing,Not Sustained,,
resigned; criminal charges,Other Disposition,,
write up attached,Other Disposition,,
terminated; write up attached,Other Disposition,,
filed vehicle accident report,Other Disposition,,
write up,Other Disposition,,
victim refused to cooperate; note: deputy has since resigned for unrelated reasons,Not Sustained,,
terminated,Other Disposition,,
unfounded; complainant arrested for false accusation,Unfounded,,
unsustained,Not Sustained,,
cleared of any wrongdoing involing the incident,Not Sustained,,
withdrawn,Withdrawn,,
referred,Other Disposition,,
founded,Sustained,,
inconclusive,Not Sustained,,
active,Other Disposition,,
unsubstantiated,Not Sustained,,
founded/preventable class 2,Sustained,,
unfounded/unsubstantiated,Unfounded,,
founded reduced to letter,Sustained,,
dismissed,Not Sustained,,
no conclusion given,Other Disposition,,
no discipline,Other Disposition,,
suspended investigation,Other Disposition,,
at fault,Sustained,,
request for termination,Other Disposition,,
justified,Not Sustained,,
sustained; resigned,Sustained,,
not sustained; sustained,Not Sustained,,
non-sustained,Not Sustained,,
complaint withdrawn,Withdrawn,,
policy failure,Other Disposition,,
partially sustained,Sustained,,
not based on com,Other Disposition,,
referred to lt mark adams,Other Disposition,,
insufficient evidence to sustain,Not Sustained,,
resigned during investigation,Other Disposition,,
unfit for duty,Other Disposition,,
abandoned,Other Disposition,,
resigned before completion,Other Disposition,,
early warning,Other Disposition,,
withdrew complaint,Withdrawn,,
talked with co buckley,Other Disposition,,
sustained; resigned prior to discipline,Sustained,,
evaluation,Other Disposition,,
no criminal or administrative violation,Not Sustained,,
referred to captain shelby,Other Disposition,,
referred to chad shelby,Other Disposition,,
referred to milford zeringue,Other Disposition,,
referred to jp degravelles,Other Disposition,,
transferred before completion; appeal; resigned,Other Disposition,,
vsa shows deception,Other Disposition,,
resigned; refused to cooperate,Other Disposition,,
administrative rem; not sustained,Not Sustained,,
abandoned before completion,Other Disposition,,
pending district attorney's review,Other Disposition,,
da review,Other Disposition,,
invalid complaint,Not Sustained,,
suspended,Other Disposition,,
no investigation merited,Not Sustained,,
no fault,Not Sustained,,
captain liberto deceased,Other Disposition,,
violation of bodycamera policy,Sustained,,
other,Other Disposition,,
no further investigation merited,Other Disposition,,
di-2,Other Disposition,,
pending investigation,Pending,,
pending,Pending,,
withdrawn; mediation,Withdrawn,,
withdrawn - mediation,Withdrawn,,
resigned under investigation,Other Disposition,,
sustained; dismissed,Sustained,,
negotiated settlement,Other Disposition,,
redirection,Other Disposition,,
sustained; resigned while under investigation,Sustained,,
reclassified as di-2,Other Disposition,,
cancelled,Other Disposition,,
duplicate investigation,Other Disposition,,
resigned while under investigation,Other Disposition,,
duplicate allegation,Other Disposition,,
sustained; retired under investigation,Sustained,,
no violations observed,Other Disposition,,
bwc; redirection,Other Disposition,,
sustained; dui,Sustained,,
exonerated; rui,Not Sustained,,
not sustained; rui,Not Sustained,,
nsa; rui,Other Disposition,,
non-applicable,Other Disposition,,
rui,Other Disposition,,
sustained; deceased,Sustained,,
awaiting hearing,Other Disposition,,
terminated all charges,Not Sustained,,
ragas,Other Disposition,,
unfounded; performance issue,Unfounded,,
board,Other Disposition,,
to cib,Other Disposition,,
failure to honor subpeona,Other Disposition,,
action justified,Not Sustained,,
at fault failure to notify supervisor,Sustained,,
on sick leave,Other Disposition,,
federal civil rights suit dismissed by court drug charges against complainant dismissed by district attorney,Other Disposition,,
husband and wife dispute,Other Disposition,,
repeat violation,Other Disposition,,
fail to honor subpoena,Other Disposition,,
lax in supervisory responsibility,Other Disposition,,
"louisiana state report 08-2879 ""no contest"" plea / susp. sent",Other Disposition,,
unexcused absence,Other Disposition,,
non sustained,Not Sustained,,
justified action taken,Not Sustained,,
action justified effecting an arrest,Not Sustained,,
failure to turn in reports in a timely manner,Other Disposition,,
failed to honor subpeona,Other Disposition,,
1 day suspension without pay,Other Disposition,,
expired,Other Disposition,,
reprimand given instructions on properly securing evidence,Other Disposition,,
five day suspension without pay,Other Disposition,,
five day suspension,Other Disposition,,
sent to human resources,Other Disposition,,
undetermined,Other Disposition,,
NOT SUSTAINED,Not Sustained,,
SUSTAINED,Sustained,,
EXONERATED,Not Sustained,,
UNFOUNDED,Unfounded,,
EXCEPTIONAL,Other Disposition,,
POLICY FAILURE,Other Disposition,,
FALSE COMPLETION,Other Disposition,,
NO FURTHER,Other Disposition,,
resignation,Other Disposition,,
administrative closed,Other Disposition,,
administrative,Other Disposition,,
cleared,Other Disposition,,
resigned prior to disciplinary action,Other Disposition,,
to capt bloom by payne check with up and,Other Disposition,,